record_id,data_source,category,content,content_cleaned,content_length,quality_score,links,type,processed_date,original_index
59,wikipedia,lainnya,"5.1.10Sekolah Arsitektur, Perencanaan, dan Pengembangan Kebijakan (SAPPK)",5110 arsi pere peng kebi sapp,73,60,"#Sekolah_Arsitektur,_Perencanaan,_dan_Pengembangan_Kebijakan_(SAPPK)",li,2025-06-21,53
60,wikipedia,akademik,5.1.11Fakultas Seni Rupa dan Desain (FSRD),5111 seni rupa desa fsrd,42,70,#Fakultas_Seni_Rupa_dan_Desain_(FSRD),li,2025-06-21,54
61,wikipedia,akademik,5.1.13Sekolah Pasca Sarjana (SPS),5113 pasc sarj sps,33,60,#Sekolah_Pasca_Sarjana_(SPS),li,2025-06-21,56
62,wikipedia,akademik,5.1.14Non Fakultas/Sekolah (NONFS),5114 faku nonf,34,60,#Non_Fakultas/Sekolah_(NONFS),li,2025-06-21,57
63,wikipedia,akademik,"5.2Akreditasi Internasional5.2.1Fakultas Matematika dan Ilmu Pengetahuan Alam (FMIPA)5.2.2Sekolah Ilmu dan Teknologi Hayati (SITH)5.2.3Sekolah Farmasi (SF)5.2.4Fakultas Ilmu dan Teknologi Kebumian (FITB)5.2.5Fakultas Teknik Pertambangan dan Perminyakan (FTTM)5.2.6Sekolah Teknik Elektro dan Informatika (STEI)5.2.7Fakultas Teknologi Industri (FTI)5.2.8Fakultas Teknik Mesin dan Dirgantara (FTMD)5.2.9Fakultas Teknik Sipil dan Lingkungan (FTSL)5.2.10Sekolah Arsitektur, Perencanaan, dan Pengembangan Kebijakan (SAPPK)5.2.11Sekolah Bisnis dan Manajemen (SBM)",52ak inte mate ilmu peng alam fmip ilmu tekn haya sith farm sf52 ilmu tekn kebu fitb tekn pert perm fttm tekn elek info stei tekn indu fti5 tekn mesi dirg ftmd tekn sipi ling ftsl arsi pere peng kebi sapp bisn mana sbm,556,100,"#Akreditasi_Internasional #Fakultas_Matematika_dan_Ilmu_Pengetahuan_Alam_(FMIPA)_2 #Sekolah_Ilmu_dan_Teknologi_Hayati_(SITH)_2 #Sekolah_Farmasi_(SF)_2 #Fakultas_Ilmu_dan_Teknologi_Kebumian_(FITB)_2 #Fakultas_Teknik_Pertambangan_dan_Perminyakan_(FTTM)_2 #Sekolah_Teknik_Elektro_dan_Informatika_(STEI)_2 #Fakultas_Teknologi_Industri_(FTI)_2 #Fakultas_Teknik_Mesin_dan_Dirgantara_(FTMD)_2 #Fakultas_Teknik_Sipil_dan_Lingkungan_(FTSL)_2 #Sekolah_Arsitektur,_Perencanaan,_dan_Pengembangan_Kebijakan_(SAPPK)_2 #Sekolah_Bisnis_dan_Manajemen_(SBM)_2",li,2025-06-21,58
64,wikipedia,akademik,5.2.1Fakultas Matematika dan Ilmu Pengetahuan Alam (FMIPA),521f mate ilmu peng alam fmip,58,80,#Fakultas_Matematika_dan_Ilmu_Pengetahuan_Alam_(FMIPA)_2,li,2025-06-21,59
65,wikipedia,penelitian,5.2.2Sekolah Ilmu dan Teknologi Hayati (SITH),522s ilmu tekn haya sith,45,70,#Sekolah_Ilmu_dan_Teknologi_Hayati_(SITH)_2,li,2025-06-21,60
66,wikipedia,akademik,5.2.4Fakultas Ilmu dan Teknologi Kebumian (FITB),524f ilmu tekn kebu fitb,48,70,#Fakultas_Ilmu_dan_Teknologi_Kebumian_(FITB)_2,li,2025-06-21,62
67,wikipedia,akademik,5.2.5Fakultas Teknik Pertambangan dan Perminyakan (FTTM),525f tekn pert perm fttm,56,80,#Fakultas_Teknik_Pertambangan_dan_Perminyakan_(FTTM)_2,li,2025-06-21,63
68,wikipedia,akademik,5.2.7Fakultas Teknologi Industri (FTI),527f tekn indu fti,38,60,#Fakultas_Teknologi_Industri_(FTI)_2,li,2025-06-21,65
69,wikipedia,akademik,5.2.8Fakultas Teknik Mesin dan Dirgantara (FTMD),528f tekn mesi dirg ftmd,48,70,#Fakultas_Teknik_Mesin_dan_Dirgantara_(FTMD)_2,li,2025-06-21,66
70,wikipedia,akademik,5.2.9Fakultas Teknik Sipil dan Lingkungan (FTSL),529f tekn sipi ling ftsl,48,70,#Fakultas_Teknik_Sipil_dan_Lingkungan_(FTSL)_2,li,2025-06-21,67
71,wikipedia,lainnya,"5.2.10Sekolah Arsitektur, Perencanaan, dan Pengembangan Kebijakan (SAPPK)",5210 arsi pere peng kebi sapp,73,60,"#Sekolah_Arsitektur,_Perencanaan,_dan_Pengembangan_Kebijakan_(SAPPK)_2",li,2025-06-21,68
72,wikipedia,lainnya,7ReputasiGulingkan subbagian Reputasi7.1Peringkat ITB di Dunia7.2Peringkat ITB di Asia7.3Peringkat ITB berdasarkan Bidang Studi7.4Peringkat ITB dalam Keberlanjutan,7rep subb repu itb duni itb asia itb berd bida stud itb kebe,163,80,#Reputasi #Peringkat_ITB_di_Dunia #Peringkat_ITB_di_Asia #Peringkat_ITB_berdasarkan_Bidang_Studi #Peringkat_ITB_dalam_Keberlanjutan,li,2025-06-21,71
73,wikipedia,mahasiswa,9Keluarga mahasiswa ITB,9kel maha itb,23,60,#Keluarga_mahasiswa_ITB,li,2025-06-21,77
74,wikipedia,akademik,10Organisasi kemahasiswaanGulingkan subbagian Organisasi kemahasiswaan10.1Unit kegiatan mahasiswa10.2Himpunan mahasiswa program studi,10or kema subb orga kema kegi maha maha prog stud,133,90,#Organisasi_kemahasiswaan #Unit_kegiatan_mahasiswa #Himpunan_mahasiswa_program_studi,li,2025-06-21,78
75,wikipedia,mahasiswa,10.1Unit kegiatan mahasiswa,101u kegi maha,27,60,#Unit_kegiatan_mahasiswa,li,2025-06-21,79
76,wikipedia,akademik,10.2Himpunan mahasiswa program studi,102h maha prog stud,36,60,#Himpunan_mahasiswa_program_studi,li,2025-06-21,80
77,wikipedia,akademik,"Institut Teknologi Bandung(disingkatITB,aksara Sunda:ᮄᮔ᮪ᮞ᮪ᮒᮤᮒᮥᮒ᮪ ᮒᮦᮊ᮪ᮔᮧᮜᮧᮌᮤ ᮘᮔ᮪ᮓᮥᮀ) adalah sebuahperguruan tinggi negeriyang terletak diKota Bandung, Jawa Barat. Nama ITB diresmikan pada tanggal 2 Maret 1959.[2]Sejak tanggal 14 Oktober 2013 ITB menjadi Perguruan Tinggi Negeri Badan Hukum (PTN BH) yang memiliki otonomi pengelolaan dalam akademik dan nonakademik.[8]ITB telah memiliki 27 program studi yang terakreditasi secara internasional (sebelas dariABET, sebelas dari ASIIN).[9][10][11]",inst tekn band sund ᮒᮊᮔᮜ ᮘᮔᮓ sebu ting nege terl diko band jawa bara nama itb dire tang 2 mare 1959 tang 14 okto 2013 itb menj perg ting nege bada huku ptn bh memi oton peng akad nona memi 27 prog stud tera seca inte sebe dari sebe asii,492,100,/wiki/Aksara_Sunda /wiki/Perguruan_tinggi_negeri /wiki/Kota_Bandung #cite_note-sk267-2 #cite_note-pp65-11 https://en.wikipedia.org/wiki/ABET #cite_note-abet-12 #cite_note-abetitb-13 #cite_note-spm-14,p,2025-06-21,136
78,wikipedia,sejarah,"Kampus utama ITBsaat ini merupakan lokasi dari sekolah tinggi teknik pertama di Indonesia[note 4]sekaligus lembaga pendidikan tinggi pertama diHindia Belanda.[note 5]Walaupun masing-masing institusi pendidikan tinggi yang mengawali ITB memiliki karakteristik dan misi masing-masing, semuanya memberikan pengaruh dalam perkembangan yang menuju pada pendirian ITB.",kamp utam itbs meru loka seko ting tekn pert indo 4sek lemb pend ting pert dihi bela 5wal masi inst pend ting meng itb memi kara misi masi semu memb peng perk menu pend itb,362,100,/wiki/Kampus_ITB_Ganesha #cite_note-jul-16 /wiki/Hindia_Belanda #cite_note-reed-18,p,2025-06-21,137
79,wikipedia,sejarah,"Rektor ITB saat ini adalah Prof. Dr. Ir.Tatacipta Dirgantara, M.T., untuk masa jabatan 2025–2030.[14]",rekt itb saat prof dr irta dirg mt masa jaba 2025,101,100,/wiki/Tatacipta_Dirgantara #cite_note-19,p,2025-06-21,138
80,wikipedia,sejarah,Kurun waktu sejarah pendirian ITB dapat dibagi dalam periode:,kuru wakt seja pend itb dapa diba peri,61,60,,p,2025-06-21,140
81,wikipedia,sejarah,"Sejarah Institut Teknologi Bandung (ITB) bermula sejak awal abad ke-20, atas prakarsa masyarakat penguasa kala itu. Tujuan awal pendiriannya adalah untuk memenuhi kebutuhan tenaga teknik yang menjadi sulit karena terganggunya hubungan antara negeri Belanda dan wilayah jajahannya di kawasan Nusantara, sebagai akibat pecahnya Perang Dunia Pertama.Technische Hoogeschool te Bandoeng(sering disingkat menjadi TH te Bandoeng, TH Bandung, atau THS) berdiri tanggal 3 Juli 1920 sebagai sekolah tinggi pertama di Hindia Belanda.[note 6]TH Bandung dibuka pertama kali dengan satu fakultas yaitude Faculteit van Technische Wetenschapyang hanya mempunyai satu bagian yaitude afdeeling der Weg- en Waterbouwkunde. Kampus ITB merupakan tempat di mana presiden Indonesia pertama,Soekarno, meraih gelar insinyurnya dalam bidangTeknik Sipil. Lama studi untuk menjadi insinyur adalah empat tahun. Sampai dengan ditutupnya pada tahun 1942, THS memiliki tiga bagian (afdeeling) yaitu sipil (1920), kimia (1940), dan mesin dan listrik (1941);[note 7]namun dua bagian terakhir belum sempat meluluskan seorang insinyur.",seja inst tekn band itb berm awal abad ke20 atas prak masy peng kala tuju awal pend meme kebu tena tekn menj suli terg hubu nege bela wila jaja kawa nusa akib peca pera duni pert hoog te band disi menj th te band th band ths berd tang 3 juli 1920 seko ting pert hind bela 6th band dibu pert kali satu faku yait facu van tech wete memp satu bagi yait afde der weg en wate kamp itb meru temp mana pres indo pert mera gela insi bida sipi lama stud menj insi empa tahu ditu tahu 1942 ths memi tiga bagi afde yait sipi 1920 kimi 1940 mesi list 1941 7nam dua bagi tera semp melu seor insi,1099,100,/wiki/Technische_Hoogeschool_te_Bandoeng #cite_note-eja-21 /wiki/Soekarno /wiki/Teknik_Sipil #cite_note-mesin-22,p,2025-06-21,142
82,wikipedia,sejarah,"Pada masapenjajahan Jepang, upaya untuk membuka kembali perkuliahan TH Bandung ditolak secara tegas, namun kegiatan penelitian di laboratorium-laboratorium yang ada di kampus TH Bandung diizinkan. Komunitas laboratorium tersebut dinamakanInstitute of Tropical Scientific Research(Lembaga Penelitian Ilmiah Tropis) yang diawaki oleh banyak staf akademik TH Bandung.",masa jepa upay memb kemb perk th band dito seca tega kegi pene labo kamp th band diiz komu labo ters dina of trop scie rese pene ilmi trop diaw bany staf akad th band,364,100,/wiki/Pendudukan_Jepang_di_wilayah_Hindia_Belanda /wiki/Bandung_Kogyo_Daigaku#Institute_of_Tropical_Scientific_Research,p,2025-06-21,144
83,wikipedia,sejarah,"Pada tanggal 1 April 1944, THS dibuka kembali oleh pemerintah militer Jepang dengan nama バンドン工業大学(Bandung Kōgyō Daigakucode: ja is deprecated)[16]:26setelah ditutup sejak 8 Maret 1942 dengan menyerahnya Hindia Belanda di Kalijati.Bandoeng Koogyo Daigaku (BKD)membuka tiga bagian yaitu Teknik Sipil (Dobubuka), Teknik Kimia (Oyakagabuka), Listrik dan Mesin (Denki dan Kikaika). Lama studi untuk menjadi insinyur(kogakusi)adalah tiga tahun, mengikuti kurikulum yang diterapkan diTokyo Kogyo Daigaku (Tokyo Institute of Technology)pada masa itu.",tang 1 apri 1944 ths dibu kemb peme mili jepa nama バンドン kōgy daig ja is depr ditu 8 mare 1942 meny hind bela kali koog daig bkdm tiga bagi yait tekn sipi dobu tekn kimi oyak list mesi denk kika lama stud menj insi tiga tahu meng kuri dite dito kogy daig toky inst of tech masa,542,100,#cite_note-saka-23 /wiki/Bandung_Kogyo_Daigaku#Bandoeng_Koogyo_Daigaku,p,2025-06-21,146
84,wikipedia,lokasi,Sekolah Tinggi Teknik Bandung(1945–1946),seko ting tekn band,40,60,/wiki/Sekolah_Tinggi_Teknik_Bandung,h3,2025-06-21,147
85,wikipedia,sejarah,"Kemudian pada masa kemerdekaan Indonesia, pada bulan Agustus 1945, namanya diubah menjadiSekolah Tinggi Teknik Bandung(STT Bandung) yang membuka tiga bagian yaitu Bagian Bangunan Jalan dan Air, Bagian Kimia, dan Bagian Mesin dan Listrik dengan lama studi empat tahun. Pada tahun 1946, STT Bandung dipindahkan keYogyakartanamun karena serbuan tentara Belanda ke Yogyakarta, pada tanggal 19 Desember 1948 STT Bandung di Yogyakarta terpaksa ditutup. Beberapa waktu kemudian sekolah itu dibuka kembali pada tahun 1949 dengan hanya menyelenggarakan Bagian Sipil saja dan menjadi cikal bakal lahirnya Fakultas TeknikUniversitas Gadjah Mada.",kemu masa keme indo bula agus 1945 nama diub menj ting tekn band band memb tiga bagi yait bagi bang jala air bagi kimi bagi mesi list lama stud empa tahu tahu 1946 stt band dipi keyo serb tent bela yogy tang 19 dese 1948 stt band yogy terp ditu bebe wakt kemu seko dibu kemb tahu 1949 meny bagi sipi saja menj cika baka lahi faku tekn gadj mada,634,100,/wiki/Sekolah_Tinggi_Teknik_Bandung /wiki/Yogyakarta /wiki/UGM,p,2025-06-21,148
86,wikipedia,lainnya,"Technische Faculteit, Nood-Universiteit van Nederlandsch Indie(1946–1947)",tech facu nood van nede indi,73,60,"/wiki/Technische_Faculteit,_Nood-Universiteit_van_Nederlandsch_Indie",h3,2025-06-21,149
87,wikipedia,akademik,"Pada tanggal 21 Januari 1946,NICAmendirikanNood-Universiteit van Nederlandsch Indie– Universitas Darurat Hindia Belanda di mana salah satu fakultasnya adalahTechnische Faculteit(fakultas teknik) sebagai pengganti STT Bandung di lokasi Kampus THS dulu. Sebagian besar pengajarnya adalah para mantan pengajar THS yang baru saja dibebaskan dari kamp interniran Jepang.[5]:14",tang 21 janu 1946 van nede indi univ daru hind bela mana sala satu faku adal facu tekn peng stt band loka kamp ths dulu seba besa peng para mant peng ths baru saja dibe kamp inte jepa,371,100,"/wiki/NICA /wiki/Nood-Universiteit_van_Nederlandsch_Indie /wiki/Technische_Faculteit,_Nood-Universiteit_van_Nederlandsch_Indie #cite_note-ing4812-5",p,2025-06-21,150
88,wikipedia,lainnya,Faculteit van Technische WetenschapdanFaculteit der Exacte WetenschapUniversiteit van Indonesie te Bandoeng(1947–1950),facu van tech wete der exac wete van indo te band,118,80,/wiki/Universiteit_van_Indonesie_te_Bandoeng,h3,2025-06-21,151
89,wikipedia,sejarah,"Pada tanggal 12 Maret 1947, NICA mendirikanUniversiteit van Indonesieyang berpusat di Jakarta. KampusTHSberikut para pengajarnya dijadikanFaculteit van Technische Wetenschap. Pada 6 Oktober 1947,Faculteit van Exacte Wetenschapberdiri.",tang 12 mare 1947 nica mend van indo berp jaka kamp para peng dija van tech wete 6 okto 1947 van exac wete,234,100,/wiki/Universiteit_van_Indonesie /wiki/THS /wiki/Universiteit_van_Indonesie_te_Bandoeng#Faculteit_van_Technische_Wetenschap_te_Bandoeng /wiki/Universiteit_van_Indonesie_te_Bandoeng#Faculteit_der_Exacte_Wetenschap/Faculteit_van_Wiskunde_en_Natuurwetenschap,p,2025-06-21,152
90,wikipedia,akademik,Fakultas Teknik dan Fakultas Ilmu Pasti dan Ilmu AlamUniversitas Indonesia Bandung(1950–1959),faku tekn faku ilmu past ilmu alam indo band,93,90,/wiki/Universitas_Indonesia_Bandung,h3,2025-06-21,153
91,wikipedia,akademik,Ini kemudian menjadi Fakultas Teknik dan Fakultas Ilmu Pasti dan Ilmu AlamUniversitas Indonesiadi Bandung sejak 2 Februari 1950.,kemu menj faku tekn faku ilmu past ilmu alam indo band 2 febr 1950,128,100,/wiki/Universitas_Indonesia_Bandung,p,2025-06-21,154
92,wikipedia,sejarah,"Pada tanggal 2 Maret 1959, didorong oleh gagasan dan keyakinan yang dilandasi semangat perjuangan Proklamasi Kemerdekaan serta wawasan ke masa depan, Pemerintah Indonesia meresmikan berdirinya Institut Teknologi di Kota Bandung pada tanggal 2 Maret 1959 berdasarkan Peraturan Pemerintah Nomor 6 Tahun 1959 tentang Pendirian Institut Teknologi (Lembaran Negara Tahun 1959 Nomor 9 dan Tambahan Lembaran Negara Nomor 1733) yang ditetapkan tanggal 28 Februari 1959. Institut Teknologi yang dipimpin oleh Presiden Institut Teknologi ini (Pasal 4) mempunyai kedudukan hukum sebagai Universitas yang pada awalnya terdiri atas departemen ilmu teknik; departemen ilmu pasti dan ilmu alam; dan departemen ilmu kimia dan ilmu hayat (Pasal 1 dan Pasal 2) – departemen pada waktu itu mempunyai kedudukan sebagai Fakultas. Fakultas Teknik dan Fakultas Ilmu Pasti dan Ilmu Alam Universitas Indonesia secara resmi memisahkan diri (Pasal 3) menjadi Institut Teknologi Bandung (ITB). Upacara peresmiannya sendiri dipimpin oleh Presiden RI Ir. Soekarno.",tang 2 mare 1959 dido gaga keya dila sema perj prok keme sert wawa masa depa peme indo mere berd inst tekn kota band tang 2 mare 1959 berd pera peme nomo 6 tahu 1959 pend inst tekn lemb nega tahu 1959 nomo 9 tamb lemb nega nomo 1733 dite tang 28 febr 1959 inst tekn dipi pres inst tekn pasa 4 memp kedu huku univ awal terd atas depa ilmu tekn depa ilmu past ilmu alam depa ilmu kimi ilmu haya pasa 1 pasa 2 depa wakt memp kedu faku faku tekn faku ilmu past ilmu alam univ indo seca resm memi diri pasa 3 menj inst tekn band itb upac pere send dipi pres ri ir soek,1034,80,,p,2025-06-21,156
93,wikipedia,fasilitas,"Berbeda dengan harkat pendirian lima perguruan tinggi teknik sebelumnya di kampus yang sama, Institut Teknologi Bandung lahir dalam suasana penuh dinamika mengemban misi pengabdian ilmu pengetahuan dan teknologi, yang berpijak pada kehidupan nyata di bumi sendiri bagi kehidupan dan pembangunan bangsa yang maju dan bermartabat.",berb hark pend lima perg ting tekn sebe kamp sama inst tekn band lahi suas penu dina meng misi peng ilmu peng tekn berp kehi nyat bumi send bagi kehi pemb bang maju berm,328,80,,p,2025-06-21,157
94,wikipedia,sejarah,"Kurun dasawarsa pertama tahun 1960–anITB mulai membina dan melengkapi dirinya dengan kepranataan yang harus diadakan. Dalam periode ini dilakukan persiapan pengisian-pengisian organisasi bidang pendidikan dan pengajaran, serta melengkapkan jumlah dan meningkatkan kemampuan tenaga pengajar dengan penugasan belajar ke luar negeri.",kuru dasa pert tahu 1960 mula memb mele diri kepr haru diad peri dila pers peng orga bida pend peng sert mele juml meni kema tena peng penu bela luar nege,330,80,,p,2025-06-21,158
95,wikipedia,sejarah,"Kurun dasawarsa kedua tahun 1970–anITB diwarnai oleh masa sulit yang timbul menjelang periode pertama. Satuan akademis yang telah dibentuk berubah menjadi satuan kerja yang juga berfungsi sebagai satuan sosial-ekonomi yang secara terbatas menjadi institusi semi-otonom. Tingkat keakademian makin meningkat, tetapi penugasan belajar ke luar negeri makin berkurang. Sarana internal dan kepranataan semakin dimanfaatkan.",kuru dasa kedu tahu 1970 diwa masa suli timb menj peri pert satu akad dibe beru menj satu kerj berf satu sosi seca terb menj inst semi ting keak maki meni penu bela luar nege maki berk sara inte kepr sema dima,417,80,,p,2025-06-21,159
96,wikipedia,sejarah,Kurun dasawarsa ketiga tahun 1980–anditandai dengan kepranataan dan proses belajar mengajar yang mulai memasuki era modern dengan sarana fisik kampus yang makin dilengkapi. Jumlah lulusan sarjana makin meningkat dan program pasca sarjana mulai dibuka. Keadaan ini didukung oleh makin membaiknya kondisi sosio-politik dan ekonomi negara.,kuru dasa keti tahu 1980 kepr pros bela meng mula mema era mode sara fisi kamp maki dile juml lulu sarj maki meni prog pasc sarj mula dibu kead didu maki memb kond sosi ekon nega,336,80,,p,2025-06-21,160
97,wikipedia,sejarah,"Kurun dasawarsa keempat tahun 1990–anperguruan tinggi teknik yang semula hanya mempunyai satu jurusan pendidikan itu, kini memiliki dua puluh enam Departemen Program Sarjana, termasuk Departemen Sosioteknologi, tiga puluh empat program studi S2/Magister dan tiga bidang studi S3/Doktor yang mencakup unsur-unsur ilmu pengetahuan, teknologi, seni, bisnis dan ilmu-ilmu kemanusiaan.",kuru dasa keem tahu 1990 ting tekn semu memp satu juru pend kini memi dua pulu enam depa prog sarj term depa sosi tiga pulu empa prog stud s2ma tiga bida stud s3do menc unsu ilmu peng tekn seni bisn ilmu kema,380,80,,p,2025-06-21,161
98,wikipedia,sejarah,"Kini, dengan suplai tahunan pelajar-pelajar Indonesia terbaik, Institut Teknologi Bandung merupakan salah satu pusat ilmu sains, teknologi, dan seni terbaik di Indonesia.",kini supl tahu pela indo terb inst tekn band meru sala satu pusa ilmu sain tekn seni terb indo,170,80,,p,2025-06-21,162
99,wikipedia,mahasiswa,Institut Teknologi Bandung juga mendukung para pelajar dan aktivitas sosial mereka dengan mendukung himpunan mahasiswa yang ada di setiap departemen.,inst tekn band mend para pela akti sosi mend himp maha seti depa,149,80,,p,2025-06-21,163
100,wikipedia,sejarah,"Setiap tahunnya, Institut Teknologi Bandung memilih seorang mahasiswa terbaik untuk dikirim ke pemilihan mahasiswa teladan nasional.Ganesha Prizeadalah nama penghargaan untuk mereka yang mendapatkan gelar mahasiswa terbaik ini. Penghargaan ini biasanya diberikan secara resmi pada seremoni penerimaan mahasiswa baru.",seti tahu inst tekn band memi seor maha terb diki pemi maha tela nasi priz nama peng mend gela maha terb peng bias dibe seca resm sere pene maha baru,316,100,/w/index.php?title=Ganesha_Prize&action=edit&redlink=1,p,2025-06-21,164
101,wikipedia,sejarah,Sejak tanggal 26 Desember 2000 ITB menjadi Perguruan Tinggi Badan Hukum Milik Negara (PT BHMN) sebagaimana diatur Peraturan Pemerintah Nomor 155 Tahun 2000. Sejak tanggal 12 April 2012 ITB menjadi Perguruan Tinggi yang diselenggarakan oleh Pemerintah (PTP) sebagaimana diatur Peraturan Presiden Nomor 44 Tahun 2012. Sejak tanggal 14 Oktober 2013 ITB menjadi Perguruan Tinggi Negeri Badan Hukum (PTN BH) yang memiliki otonomi pengelolaan dalam akademik dan non-akademik sebagaimana diatur Peraturan Pemerintah Nomor 65 Tahun 2013 tentang STATUTA INSTITUT TEKNOLOGI BANDUNG.,tang 26 dese 2000 itb menj perg ting bada huku mili nega pt bhmn seba diat pera peme nomo 155 tahu 2000 tang 12 apri 2012 itb menj perg ting dise peme ptp seba diat pera pres nomo 44 tahu 2012 tang 14 okto 2013 itb menj perg ting nege bada huku ptn bh memi oton peng akad nona seba diat pera peme nomo 65 tahu 2013 stat inst tekn band,572,80,,p,2025-06-21,165
102,wikipedia,penelitian,Berikut adalah pimpinan di Institut Teknologi Bandung yang sedang menjabat:,beri pimp inst tekn band seda menj,75,60,,p,2025-06-21,167
103,wikipedia,mahasiswa,"Wakil Rektor Bidang Akademik dan Kemahasiswaan :Prof. Dr. Irwan Meilano, S.T., M.Sc.",waki rekt bida akad kema prof dr irwa meil st msc,84,70,,li,2025-06-21,169
104,wikipedia,penelitian,"Wakil Rektor Bidang Riset dan Inovasi :Prof. Ir. Lavi Rizki Zuhal, M.Sc., Ph.D.",waki rekt bida rise inov prof ir lavi rizk zuha msc phd,79,70,,li,2025-06-21,172
105,wikipedia,mahasiswa,"Wakil Rektor Bidang Komunikasi, Kemitraan, Kealumnian, dan Administrasi :Dr. Andryanto Rikrik Kusmara, S.Sn., M.Sn.",waki rekt bida komu kemi keal admi dr andr rikr kusm ssn msn,115,80,,li,2025-06-21,173
106,wikipedia,akademik,"Dekan Fakultas Matematika dan Ilmu Pengetahuan Alam :Aep Patah, S.Si., M.Si., Ph.D.",deka faku mate ilmu peng alam aep pata ssi msi phd,83,70,,li,2025-06-21,174
107,wikipedia,akademik,"Dekan Fakultas Ilmu dan Teknologi Kebumian :Dr. Techn. Dudy Darmawan Wijaya, S.T., M.Sc.",deka faku ilmu tekn kebu dr tech dudy darm wija st msc,88,70,,li,2025-06-21,175
108,wikipedia,akademik,"Dekan Fakultas Teknik Pertambangan dan Perminyakan :Prof. Dr. Eng. Ir. Syafrizal, S.T., M.T., IPM.",deka faku tekn pert perm prof dr eng ir syaf st mt ipm,98,70,,li,2025-06-21,176
109,wikipedia,akademik,"Dekan Fakultas Teknik Mesin dan Dirgantara :Prof. Dr. Ir. Hermawan Judawisastra, M.Eng.",deka faku tekn mesi dirg prof dr ir herm juda meng,87,70,,li,2025-06-21,177
110,wikipedia,akademik,"Dekan Fakultas Teknik Sipil dan Lingkungan :Dr. Eng. Nita Yuwanita, S.T., M.T.",deka faku tekn sipi ling dr eng nita yuwa st mt,78,70,,li,2025-06-21,178
111,wikipedia,akademik,"Dekan Fakultas Teknologi Industri :Prof. Ir. Tirto Prakoso, S.T., M.Eng., Ph.D.",deka faku tekn indu prof ir tirt prak st meng phd,79,70,,li,2025-06-21,179
112,wikipedia,akademik,"Dekan Fakultas Seni Rupa dan Desain :Dr. Kahfiati Kahdar, S.Sn., M.A.",deka faku seni rupa desa dr kahf kahd ssn ma,69,70,,li,2025-06-21,180
113,wikipedia,penelitian,"Dekan Sekolah Ilmu dan Teknologi Hayati :Dr. Indra Wibowo, S.Si., M.Sc.",deka seko ilmu tekn haya dr indr wibo ssi msc,71,70,,li,2025-06-21,181
114,wikipedia,lainnya,"Dekan Sekolah Arsitektur, Perencanaan, dan Pengembangan Kebijakan :Dr. Eng. Puspita Dirgahayani, S.T., M.Eng.",deka seko arsi pere peng kebi dr eng pusp dirg st meng,109,60,,li,2025-06-21,184
115,wikipedia,akademik,"Dekan Sekolah Pascasarjana Ilmu dan Teknologi Multidisiplin :Prof. Ir. Wahyu Srigutomo, S.Si., M.Si., Ph.D.",deka seko pasc ilmu tekn mult prof ir wahy srig ssi msi phd,107,80,,li,2025-06-21,186
116,wikipedia,sejarah,"Menyadari akan keterbatasan lahan Kampus Ganesha dikaitkan dengan meningkatnya kebutuhan sarana dan prasarana untuk mewujudkan visi akademiknya, maka pada sekitar tahun 2010 diterapkanlah kebijakan ITB multikampus.",meny kete laha kamp gane dika meni kebu sara pras mewu visi akad maka seki tahu 2010 dite kebi itb mult,214,80,,p,2025-06-21,188
117,wikipedia,sejarah,"Kampus Ganesha merupakan kampus utama Institut Teknologi Bandung. Berlokasi di Jl. Ganesa No. 10,Bandung, Jawa Barat, Indonesia dengan luas sekitar 28 hektar, kampus ini terus mengalami perluasan dan penambahan fasilitas. Kampus ITB Ganesha didirikan pada tahun 1920 dengan namaTechnische Hoogeschool.",kamp gane meru kamp utam inst tekn band berl jl gane no 10ba jawa bara indo luas seki 28 hekt kamp teru meng perl pena fasi kamp itb gane didi tahu 1920 nama hoog,301,100,/wiki/Bandung,p,2025-06-21,190
118,wikipedia,fasilitas,"Di Kampus ITB Ganesha, terdapat fasilitas berupa Aula Barat dan Aula Timur, Gedung Kuliah Umum (GKU), Laboratorium Teknik (Labtek), Campus Center (CC), perpustakaan, laboratorium, galeri seni, studio, dan bengkel.",kamp itb gane terd fasi beru aula bara aula timu gedu kuli umum gku labo tekn labt camp cent cc perp labo gale seni stud beng,213,80,,p,2025-06-21,191
119,wikipedia,fasilitas,"Terdapat juga fasilitas penunjang di sekitar Kampus ITB Ganesha seperti, Sarana Olah Raga (Saraga) berupa running track, lapangan sepak bola, kolam renang,Sasana Budaya Ganesha(Sabuga),Masjid Salman ITB, pusat bahasa, dan layanan kesehatan.",terd fasi penu seki kamp itb gane sepe sara olah raga sara beru runn trac lapa sepa bola kola rena buda gane salm itb pusa baha laya kese,240,100,/wiki/Sasana_Budaya_Ganesha /wiki/Masjid_Salman_ITB,p,2025-06-21,192
120,wikipedia,fasilitas,"Asrama mahasiswa, perumahan dosen, dan kantor pusat administrasi tidak terletak di kampus utama namun masih dalam jangkauan yang mudah untuk ditempuh. ITB juga memilikiObservatorium Bosscha(salah satu fasilitas dari Kelompok KeahlianAstronomiFMIPA), terletak 11 kilometer di sebelah utara Bandung.",asra maha peru dose kant pusa admi terl kamp utam jang muda dite itb memi boss satu fasi kelo keah terl 11 kilo sebe utar band,297,100,/wiki/Observatorium_Bosscha /wiki/Astronomi,p,2025-06-21,193
